,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
648,649,barojsa01,,,1957.0,6.0,16.0,Mexico,30,Cordoba,,,,,,,Salome,Barojas,,Salome (Romero),,160.0,69.0,R,R,4/11/1982,9/26/1988,,barojsa01,barojsa01,baros001,barojsa01,barojsa01
649,650,barondi01,,,1932.0,10.0,13.0,USA,CA,San Jose,,,,,,,Dick,Barone,,Richard Anthony,,165.0,69.0,R,R,9/22/1960,9/27/1960,,barondi01,barondi01,barod101,barondi01,barondi01
650,651,barrbo01,,,1856.0,12.0,,USA,DC,Washington,1930.0,3.0,11.0,USA,DC,Washington,Bob,Barr,,Robert McClelland,,192.0,73.0,R,R,6/23/1883,9/12/1891,,barrbo01,barrbo01,barrb101,barrbo01,barrbo01
651,652,barrbo02,,,1908.0,3.0,12.0,USA,MA,Newton,2002.0,7.0,25.0,USA,NH,Dover,Bob,Barr,,Robert Alexander,,175.0,72.0,R,R,9/11/1935,9/14/1935,,barrbo02,barrbo02,barrb103,barrbo02,barrbo02
652,653,barrji01,,barrji01h,1948.0,2.0,10.0,USA,CA,Lynwood,,,,,,,Jim,Barr,,James Leland,,205.0,75.0,R,R,7/31/1971,10/2/1983,,barrji01,barrji01,barrj101,barrji01,barrji01
653,654,barrsc01,,,1886.0,10.0,6.0,USA,TN,Bristol,1934.0,12.0,2.0,USA,TX,Ft.Worth,Scotty,Barr,,Hyder Edward,,175.0,72.0,R,R,8/22/1908,7/17/1909,,barrsc01,barrsc01,barrs102,barrsc01,barrsc01
654,655,barrst01,,,1951.0,9.0,8.0,USA,MO,St. Louis,,,,,,,Steve,Barr,,Steven Charles,,200.0,76.0,L,L,10/1/1974,9/29/1976,,barrst01,barrst01,barrs103,barrst01,barrst01
655,656,barracu01,,,1932.0,6.0,20.0,USA,CA,Sacramento,,,,,,,Cuno,Barragan,,Facundo Anthony,,180.0,71.0,R,R,9/1/1961,4/21/1963,,barracu01,barracu01,barrc101,barracu01,barracu01
656,657,barrage01,,,1956.0,10.0,19.0,Mexico,30,Veracruz,,,,,,,German,Barranca,,German (Costales),,160.0,72.0,L,R,9/2/1979,7/11/1982,,barrage01,barrage01,barrg101,barrage01,barrage01
657,658,barre01,,,,,,,,,,,,,,,,Barrett,,,,181.885744235,,,,9/18/1872,10/31/1872,,barre01,barre01,barru101,barre01,barre01
